ID;City;Country;Longitude;Latitude
1;Aberdeen;United Kingdom;-2.07;57.13
2;Abu Dhabi;United Arab Emirates;54.52;24.42
3;Addis Ababa;Ethiopia;38.75;9.02
4;Adelaide, SA;Australia;138.6;-34.93
5;Agana, GU;Guam;144.75;13.47
6;Ahmadabad;India;72.6;23.05
7;Akita;Japan;140.11;39.7
8;Akron, OH;USA;-81.49;41.08
9;Alborg;Denmark;9.51;57.05
10;Albuquerque, NM;USA;-106.65;35.08
11;Alexandria, VA;USA;-77.06;38.8
12;Algiers;Algeria;3.05;36.77
13;Allentown, PA;USA;-75.46;40.59
14;Amman;Jordan;35.93;31.95
15;Amsterdam;Netherlands;4.9;52.38
16;Anaheim, CA;USA;-117.91;33.83
17;Anchorage, AK;USA;-149.88;61.21
18;Andorra la Vella;Andorra;1.52;42.51
19;Angers;France;-0.55;47.47
20;Ankara;Turkey;32.85;39.93
21;Antananarivo;Madagascar;47.52;-18.92
22;Antwerp;Belgium;4.4;51.21
23;Apia;Samoa;-171.74;-13.86
24;Asuncion;Paraguay;-57.64;-25.27
25;Athens;Greece;23.71;37.96
26;Atlanta, GA;USA;-84.39;33.74
27;Auckland;New Zealand;174.76;-36.86
28;Austin, TX;USA;-97.73;30.28
29;Azama;Japan;127.819;26.178
30;Badajoz;Spain;-6.96;38.88
31;Baghdad;Iraq;44.4;33.33
32;Baltimore, MD;USA;-76.61;39.29
33;Bangalore;India;77.59;12.98
34;Bangkok;Thailand;100.52;13.73
35;Barcelona;Spain;2.17;41.38
36;Bari;Italy;16.87;41.12
37;Baton Rouge, LA;USA;-91.15;30.45
38;Beaumont, TX;USA;-94.1;30.08
39;Beijing;China;116.37;39.91
40;Belfast;United Kingdom;-5.92;54.6
41;Belgrade;Yugoslavia;20.46;44.83
42;Belo Horizonte;Brazil;-43.94;-19.92
43;Bergen;Norway;5.35;60.38
44;Berkeley, CA;USA;-122.27;37.87
45;Berlin;Germany;13.29;52.48
46;Bern;Switzerland;7.44;46.95
47;Birmingham;United Kingdom;-1.89;52.47
48;Birmingham, AL;USA;-86.8;33.52
49;Bogota;Colombia;-74.08;4.6
50;Boise;USA;-116.2;43.61
51;Bologna;Italy;11.34;44.5
52;Bombay (Mumbai);India;72.85;18.93
53;Bonn;Germany;7.1;50.74
54;Bordeaux;France;-0.57;44.84
55;Boston;USA;-71.06;42.35
56;Bournemouth;United Kingdom;-1.88;50.73
